activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2019,5493003GQDUH26DNNH17,20500,NC,37135,37135011205,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,5,0,2,1,1,1,2,2,1,95000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,180,NA,NA,2,2,2,2,NA,1,3,3,5,1,NA,46,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,65-74,9999,Yes,NA,1,3,1,,,,,10,,,,7541,51.6599999999999966,75100,187,1463,2102,20
2019,5493003GQDUH26DNNH17,20500,NC,37135,37135011101,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,3,1,1,2,2,2,245000.0,100.0,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,245000,1,1,3,5,1,NA,108,36,3,3,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,35-44,45-54,No,No,1,3,1,,,,,5,,,,8449,44.2199999999999989,75100,110,2392,3288,21
2019,5493003GQDUH26DNNH17,20500,NC,37135,37135011102,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,1,1,1,1,2,2,2,205000.0,95.0,5.25,0.732,2,1701.64,NA,0.0,,,360,NA,NA,2,2,2,2,215000,1,1,3,5,1,NA,85,20%-<30%,3,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,25-34,25-34,No,No,1,1,1,,,,,10,,,,6073,30.3999999999999986,75100,108,1628,2074,27
2019,5493003GQDUH26DNNH17,20500,NC,37135,37135010703,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,1,1,1,1,2,2,2,305000.0,95.0,4.75,0.474,2,8009.65,NA,6175.0,3087.5,,360,NA,NA,2,2,2,2,325000,1,1,3,5,1,NA,75,30%-<36%,1,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,35-44,9999,No,NA,1,1,1,,,,,10,,,,6451,51.7299999999999969,75100,69,303,900,38
2019,5493003GQDUH26DNNH17,20500,NC,37135,37135010704,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Joint,Joint,1,0,1,1,1,1,2,2,2,505000.0,100.0,5.75,1.289,2,2828.8,NA,0.0,,10.0,360,NA,NA,2,2,2,2,515000,1,1,3,5,1,NA,246,41,1,1,2,,,,,2,,,,,2,2,5,,,,,21,,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,1,1,,,,,10,,,,5741,40.9699999999999989,75100,89,960,1471,30
2019,5493003GQDUH26DNNH17,20500,NC,37135,37135011205,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,2,1,1,1,2,2,2,265000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,166,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,45-54,45-54,No,No,1,3,1,,,,,10,,,,7541,51.6599999999999966,75100,187,1463,2102,20
2019,5493003GQDUH26DNNH17,20500,NC,37135,37135012201,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,2,2,2,1,2,65000.0,62.33,NA,NA,3,NA,NA,NA,NA,NA,480,NA,1,2,2,2,2,465000,1,1,3,5,1,NA,193,20%-<30%,1,1,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,3,6,,,,,9,,,,2692,16.0100000000000016,75100,221,1024,1126,30
2019,5493003GQDUH26DNNH17,20500,NC,37135,37135011101,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,2,1,3,1,1,2,2,2,345000.0,100.0,3.5,-0.635,2,12226.84,NA,3422.02,,85.0,360,NA,NA,2,2,2,2,345000,1,1,3,5,1,NA,120,30%-<36%,1,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,1,1,1,,,,,10,,,,8449,44.2199999999999989,75100,110,2392,3288,21
2019,5493003GQDUH26DNNH17,20500,NC,37135,37135011102,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,2,1,3,1,1,2,2,2,245000.0,96.07,3.25,-0.886,2,8937.13,NA,7959.25,5510.25,,360,NA,NA,2,2,2,2,255000,1,1,3,5,1,NA,108,20%-<30%,2,2,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,45-54,No,No,1,1,1,,,,,10,,,,6073,30.3999999999999986,75100,108,1628,2074,27
2019,5493003GQDUH26DNNH17,20500,NC,37135,37135011204,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,3,1,1,1,1,2,2,2,465000.0,80.0,4.375,0.081,2,2554.94,NA,0.0,,,360,NA,NA,2,2,2,2,595000,1,1,3,5,1,NA,157,40,1,2,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,45-54,45-54,No,No,1,1,1,,,,,10,,,,3453,26.2699999999999996,75100,214,1070,1340,31
