activity_year,county_code,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,loan_purpose,loan_amount,loan_term,income,applicant_age,denial_reason-1
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,1,295000.0,360,59.0,35-44,7
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,4,0,32,455000.0,240,114.0,65-74,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,3,0,32,255000.0,360,124.0,45-54,1
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,4,0,1,345000.0,360,185.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,4,0,1,365000.0,360,72.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,3,32,105000.0,180,43.0,55-64,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,2,32,235000.0,360,62.0,25-34,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,2,32,155000.0,360,60.0,55-64,10
2018,37135,FSA/RHS:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,1,305000.0,360,73.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Sex Not Available,1,3,32,285000.0,360,142.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,1,32,165000.0,180,49.0,>74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,1,1,455000.0,360,178.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,3,31,265000.0,360,74.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,1,285000.0,360,61.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,0,32,165000.0,180,72.0,45-54,4
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,1,32,235000.0,180,106.0,65-74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,32,135000.0,360,123.0,55-64,7
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,32,295000.0,360,52.0,65-74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,31,425000.0,360,141.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Female,4,0,31,205000.0,180,69.0,65-74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,1,32,185000.0,180,139.0,45-54,10
2018,37135,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Male,1,0,32,165000.0,360,60.0,55-64,10
